30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38,Sala,B4:79:C8:45:B9:C8,30:87:D9:41:4A:48,B4:79:C8:45:B7:F8
-61,-77,-83,0,-91.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,10,0.0,0.0,0.0
-60,-63,-82,0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-55,-65,-85,0,-80.0,-87.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-62,-76,-74,-87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,-85.0,-88.0,0.0,-92.0,0.0,14,0.0,0.0,0.0
-64,-78,-70,-81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,-90.0,0.0,14,0.0,0.0,0.0
-63,-83,-67,-83,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,-88.0,0.0,0.0,-89.0,0.0,14,0.0,0.0,0.0
-48,-74,-74,0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
-58,-67,-83,-88,-85.0,0.0,-89.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-53,-69,-75,-86,0.0,0.0,-91.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0
-52,-59,-81,-90,-82.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,12,0.0,0.0,0.0
-56,-64,-79,-90,0.0,0.0,-88.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-89.0,-87.0,0.0
-51,-69,-81,-91,-82.0,-91.0,-90.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-58,-63,-88,-90,-79.0,-90.0,-90.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-51,-63,-81,-90,-89.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,12,0.0,0.0,0.0
-58,-84,0,0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-56,-68,-86,0,-83.0,-88.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-58,-72,-88,-88,-89.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,10,0.0,0.0,0.0
-51,-70,-78,-88,-86.0,0.0,-89.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-51,-67,-78,-85,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
-50,-57,-77,-89,-88.0,-92.0,-90.0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-52,-69,-87,-91,-83.0,-91.0,-90.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,12,0.0,0.0,0.0
-51,-68,-89,-91,-81.0,-91.0,-90.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,12,0.0,0.0,0.0
-56,-72,-82,-89,-87.0,0.0,-91.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,0.0,0.0,10,0.0,0.0,0.0
-53,-65,-76,0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,-89.0,-86.0,0.0
-58,-60,-83,-91,-79.0,-86.0,-90.0,-82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-50,-60,-88,-86,-89.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,12,0.0,0.0,0.0
-49,-70,-76,-82,0.0,0.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,10,0.0,0.0,0.0
-67,-89,0,0,-86.0,-85.0,-89.0,0.0,-83.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-66,-79,0,0,-81.0,0.0,-84.0,0.0,-88.0,0.0,0.0,0.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-61,-66,-86,-90,-89.0,0.0,-89.0,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0
-49,-73,-76,-89,0.0,0.0,-87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.0,10,0.0,0.0,0.0
-53,-68,-79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,-89.0,0.0,0.0,0.0,11,0.0,0.0,0.0
-60,-65,-75,-91,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,0.0,-92.0,-88.0,0.0,0.0,0.0,0.0,11,-88.0,0.0,0.0
-60,-69,-75,-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,-90.0,0.0,0.0,0.0,11,0.0,0.0,0.0
-54,-64,-84,-88,-78.0,-89.0,-90.0,-84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,0.0,12,0.0,0.0,0.0
-63,-83,-88,0,-88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0
-57,-70,-77,-87,-86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0
-59,-65,-84,-91,-83.0,-89.0,-90.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0,0.0,0.0,12,0.0,0.0,0.0
-47,-64,-76,-87,-86.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,0.0,0.0,12,0.0,0.0,0.0
-48,-65,-77,-87,-87.0,0.0,-91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.0,0.0,0.0,12,0.0,0.0,0.0
